frame_no	value
0	1000
1	1000
2	1000
3	1000
4	1000
5	1000
6	1000
7	1000
8	1000
9	1000
10	1000
11	1000
12	1000
13	1000
14	1000
15	1000
16	1000
17	1000
18	1000
19	1000
20	1000
21	1000
22	1000
23	1000
24	1000
25	1000
26	1000
27	1000
28	1000
29	1000
30	1000
31	1000
32	1000
33	1000
34	1000
35	1000
36	1000
37	1000
38	1000
39	1000
40	1000
41	1000
42	1000
43	1000
44	1000
45	1000
46	1000
47	1000
48	1000
49	1000
50	1000
51	1000
52	1000
53	1000
54	1000
55	1000
56	1000
57	1000
58	1000
59	1000
60	1000
61	1000
62	1000
63	1000
64	1000
65	1000
66	1000
67	1000
68	1000
69	1000
70	1000
71	1000
72	1000
73	1000
74	1000
75	1000
76	1000
77	1000
78	1000
79	1000
80	1000
81	1000
82	1000
83	1000
84	1000
85	1000
86	1000
87	1000
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1000
99	100
100	100
101	100
102	100
103	100
104	100
105	100
106	100
107	100
108	100
109	100
110	100
111	100
112	100
113	100
114	100
115	100
116	1000
117	100
118	100
119	100
120	1000
121	100
122	100
123	100
124	100
125	10
126	100
127	1000
128	1000
129	100
130	100
131	100
132	1000
133	100
134	100
135	100
136	100
137	100
138	100
139	100
140	100
141	100
142	100
143	100
144	100
145	100
146	100
147	100
148	100
149	100
150	100
151	100
152	1000
153	100
154	1000
155	100
156	1000
157	1000
158	100
159	1000
160	100
161	100
162	1000
163	1000
164	100
165	100
166	100
167	100
168	100
169	1000
170	1000
171	1000
172	1000
173	1000
174	1000
175	1000
176	100
177	100
178	100
179	100
180	100
181	1000
182	100
183	100
184	100
185	100
186	100
187	100
188	100
189	100
190	100
191	100
192	100
193	1000
194	1000
195	1000
196	1000
197	1000
198	1000
199	1000
200	1000
201	1000
202	1000
203	1000
204	1000
205	1000
206	1000
207	1000
208	1000
209	1000
210	1000
211	1000
212	1000
213	1000
214	1000
215	1000
216	1000
217	1000
218	1000
219	1000
220	1000
221	1000
222	1000
223	1000
224	1000
225	1000
226	100
227	1000
228	1000
229	1000
230	1000
231	1000
232	1000
233	1000
234	1000
235	1000
236	1000
237	1000
238	100
239	100
240	10
241	1000
242	1000
243	1000
244	1000
245	1000
246	1000
247	10
248	10
249	1000
250	1000
251	1000
252	1000
253	1000
254	1000
255	1000
256	1000
257	1000
258	1000
259	1000
260	1000
261	1000
262	1000
263	1000
264	1000
265	100
266	100
267	100
268	100
269	100
270	100
271	100
272	100
273	100
274	100
275	1000
276	1000
277	1000
278	1000
279	1000
280	1000
281	1000
282	1000
283	1000
284	1000
285	1000
286	1000
287	1000
288	1000
289	1000
290	1000
291	1000
292	1000
293	1000
294	1000
295	1000
296	1000
297	1000
298	1000
299	1000
300	1000
301	1000
302	1000
303	1000
304	1000
305	1000
306	1000
307	1000
308	1000
309	1000
310	1000
311	100
312	1000
313	100
314	1000
315	1000
316	1000
317	1000
318	1000
319	1000
320	1000
321	1000
322	1000
323	1000
324	1000
325	1000
326	1000
327	1000
328	1000
329	1000
330	1000
331	1000
332	1000
333	1000
334	1000
335	1000
336	1000
337	1000
338	1000
339	1000
340	1000
341	1000
342	1000
343	100
344	100
345	100
346	100
347	1000
348	1000
349	100
350	1000
351	100
352	100
353	100
354	1000
355	100
356	1000
357	100
358	100
359	100
360	1000
361	100
362	100
363	1000
364	100
365	100
366	100
367	100
368	100
369	1000
370	1000
371	1000
372	100
373	100
374	100
375	100
376	100
377	100
378	1000
379	1000
380	100
381	100
382	100
383	100
384	100
385	100
386	100
387	100
388	100
389	100
390	100
391	100
392	100
393	100
394	100
395	100
396	100
397	100
398	100
399	100
400	100
401	100
402	100
403	100
404	100
405	100
406	100
407	100
408	100
409	100
410	100
411	100
412	100
413	100
414	100
415	100
416	100
417	100
418	100
419	100
420	100
421	100
422	100
423	100
424	100
425	100
426	100
427	100
428	100
429	100
430	100
431	100
432	100
433	100
434	100
435	100
436	100
437	100
438	100
439	100
440	100
441	100
442	100
443	100
444	100
445	100
446	100
447	100
448	100
449	100
450	100
451	100
452	100
453	100
454	100
455	100
456	100
457	100
458	100
459	100
460	100
461	100
462	100
463	100
464	100
465	100
466	100
467	100
468	100
469	100
470	100
471	100
472	100
473	100
474	100
475	100
476	100
477	100
478	100
479	100
480	100
481	100
482	100
483	100
484	100
485	100
486	100
487	100
488	1000
489	1000
490	1000
491	100
492	100
493	100
494	100
495	100
496	10
497	100
498	1000
499	1000
500	1000
501	1000
502	1000
503	1000
504	1000
505	1000
506	1000
507	1000
508	1000
509	1000
510	1000
511	1000
512	1000
513	1000
514	1000
515	1000
516	1000
517	1000
518	1000
519	1000
520	1000
521	1
522	1
523	1
524	1
525	1
526	1
527	1
528	1
529	1
530	1
531	1
532	1
533	1
534	1
535	1
536	1
537	1
538	1
539	1000
540	1000
541	1000
542	1000
543	1000
544	1000
545	1000
546	1000
547	1000
548	1
549	1
550	1000
551	1000
552	1000
553	1000
554	1
555	1000
556	1
557	1
558	1
559	1
560	1
561	1
562	1
563	1
564	1
565	1
566	1
567	1000
568	1
569	1
570	1
571	1
572	1000
573	1000
574	1000
575	1
576	1
577	1
578	1
579	1
580	1
581	1
582	1
583	1
584	1
585	1
586	1
587	1
588	1000
589	1000
590	1000
591	1000
592	1000
593	1000
594	1000
595	1000
596	1000
597	1000
598	1000
599	1000
600	1000
601	1000
602	1000
603	1000
604	1000
605	1000
606	1000
607	1000
608	1000
609	1000
610	1
611	1
612	1
613	1
614	1
615	1
616	1
617	1
618	1
619	1
620	1
621	100
622	100
623	100
624	100
625	100
626	100
627	100
628	100
629	100
630	100
631	100
632	100
633	100
634	100
635	100
636	100
637	100
638	100
639	100
640	100
641	100
642	100
643	100
644	100
645	100
646	100
647	100
648	100
649	100
650	100
651	100
652	100
653	100
654	10
655	100
656	100
657	100
658	100
659	100
660	100
661	100
662	100
663	100
664	100
665	100
666	100
667	100
668	100
669	100
670	100
671	100
672	100
673	100
674	100
675	100
676	100
677	100
678	100
679	100
680	100
681	100
682	1000
683	1000
684	1000
685	1000
686	1000
687	1000
688	1000
689	1000
690	1000
691	1000
692	1000
693	1000
694	1000
695	1000
696	1000
697	100
698	100
699	1000
700	1000
701	1000
702	1000
703	1000
704	1000
705	1000
706	1000
707	100
708	100
709	1000
710	1000
711	1000
712	1000
713	1000
714	1000
715	1000
716	1000
717	1000
718	1000
719	1000
720	1000
721	1000
722	1000
723	1000
724	1000
725	1000
726	1000
727	1000
728	1000
729	1000
730	100
731	1000
732	1000
733	1000
734	1000
735	10
736	1000
737	1000
738	1000
739	1000
740	1000
741	1000
742	1000
743	1000
744	1000
745	1000
746	1000
747	1000
748	1000
749	1000
750	1000
751	1000
752	1000
753	1000
754	1000
755	1000
756	1000
757	1000
758	1000
759	1000
760	1000
761	1000
762	1000
763	1000
764	1000
765	1000
766	1000
767	1000
768	1000
769	1000
770	1000
771	1000
772	1000
773	1000
774	1000
775	1000
776	1000
777	1000
778	1000
779	1000
780	1000
781	1000
782	1000
783	1000
784	1000
785	1000
786	1000
787	1000
788	1000
789	1000
790	1000
791	1000
792	1000
793	1000
794	1000
795	1000
796	1000
797	1
798	1
799	1000
800	1000
801	1000
802	1000
803	1000
804	100
805	100
806	1000
807	1000
808	1000
809	1000
810	1000
811	1000
812	1000
813	1000
814	1000
815	1000
816	1000
817	1000
818	1000
819	1000
820	1000
821	1000
822	1000
823	1000
824	1000
825	1000
826	1000
827	1000
828	1000
829	1000
830	1000
831	1000
832	1000
833	1000
834	1000
835	1000
836	1000
837	1000
838	1000
839	1000
840	1000
841	1000
842	1000
843	1000
844	1000
845	1000
846	1000
847	1000
848	1000
849	1000
850	1000
851	1000
852	1000
853	1000
854	1000
855	1000
856	1000
857	1000
858	1000
859	1000
860	1000
861	1000
862	1000
863	1000
864	1000
865	1000
866	1000
867	1000
868	1000
869	1000
870	100
871	1000
872	100
873	100
874	100
875	1000
876	1000
877	1000
878	1000
879	1000
880	1000
881	1000
882	1000
883	1000
884	1000
885	1000
886	1000
887	100
888	100
889	100
890	100
891	100
892	100
893	100
894	100
895	100
896	100
897	100
898	100
899	100
900	100
901	100
902	100
903	100
904	100
905	1000
906	100
907	1000
908	100
909	100
910	1000
911	1000
912	100
913	1000
914	1000
915	1000
916	1000
917	100
918	100
919	1000
920	100
921	100
922	100
923	100
924	1000
925	100
926	1000
927	100
928	1000
929	100
930	100
931	1000
932	100
933	100
934	1000
935	1000
936	100
937	100
938	1000
939	1000
940	100
941	1000
942	1000
943	1000
944	1000
945	1000
946	1000
947	1000
948	1000
949	1000
950	100
951	1000
952	1000
953	1000
954	1000
955	1000
956	1000
957	1000
958	1000
959	1000
960	1000
961	1000
962	1000
963	1000
964	1000
965	100
966	100
967	1
968	1000
969	1000
970	1000
971	1000
972	1000
973	100
974	1000
975	1000
976	1000
977	1000
978	1000
979	1000
980	1000
981	1000
982	1000
983	1000
984	1000
985	1000
986	1000
987	100
988	100
989	100
990	1000
991	1000
992	1000
993	1000
994	1000
995	1000
996	1000
997	1000
998	1000
999	1000
1000	1000
1001	100
1002	1
1003	1
1004	1
1005	1
1006	100
1007	100
1008	1
1009	1
1010	1
1011	1
1012	1
1013	1
1014	1
1015	1
1016	1
1017	1
1018	1
1019	1
1020	1
1021	1
1022	1
1023	1
1024	1
1025	1
1026	1
1027	1
1028	1
1029	1
1030	1
1031	1
1032	1
1033	1
1034	1
1035	1
1036	1
1037	1
1038	1
1039	1
1040	1
1041	1
1042	1
1043	1
1044	1
1045	1
1046	1
1047	1
1048	1
1049	1
1050	1
1051	100
1052	1000
1053	1000
1054	1000
1055	1000
1056	1000
1057	1000
1058	1000
1059	1000
1060	1000
1061	1000
1062	1000
1063	1000
1064	1000
1065	1000
1066	1000
1067	1000
1068	1000
1069	1000
1070	1000
1071	1000
1072	1000
1073	1000
1074	1000
1075	1000
1076	1000
1077	1000
1078	1000
1079	1000
1080	1000
1081	1000
1082	1000
1083	1000
1084	1000
1085	1000
1086	1000
1087	1000
1088	1000
1089	1000
1090	1000
1091	1000
1092	1000
1093	1000
1094	1000
1095	1000
1096	1000
1097	1000
1098	1000
1099	1000
1100	100
1101	1
1102	1
1103	1
1104	1
1105	1
1106	1
1107	1
1108	1
1109	1
1110	1
1111	1
1112	1
1113	1
1114	1
1115	1
1116	1
1117	100
1118	100
1119	100
1120	100
1121	100
1122	100
1123	100
1124	1
1125	1
1126	1
1127	1
1128	1
1129	1
1130	1
1131	1
1132	1
1133	1
1134	1
1135	1
1136	1
1137	1
1138	1
1139	1
1140	1
1141	1
1142	10
1143	1
1144	1
1145	1
1146	1
1147	1
1148	1
1149	1
1150	1
1151	100
1152	100
1153	1000
1154	1000
1155	1
1156	1
1157	1
1158	1
1159	1
1160	1
1161	1
1162	1000
1163	1000
1164	1000
1165	1000
1166	1000
1167	1
1168	1000
1169	1000
1170	1000
1171	1000
1172	1000
1173	1000
1174	1000
1175	1000
1176	1000
1177	1000
1178	1000
1179	1000
1180	1000
1181	100
1182	1000
1183	1000
1184	1000
1185	1000
1186	1000
1187	1000
1188	1000
1189	1000
1190	1000
1191	1
1192	1
1193	1
1194	1
1195	1
1196	1
1197	1000
1198	1000
1199	1000
1200	1000
1201	1000
1202	1000
1203	1000
1204	1000
1205	1000
1206	1000
1207	1000
1208	1000
1209	1000
1210	1000
1211	1000
1212	1000
1213	1000
1214	1000
1215	1000
1216	1000
1217	1000
1218	1000
1219	1000
1220	1000
1221	1000
1222	1000
1223	1000
1224	1000
1225	1000
1226	1000
1227	1000
1228	1000
1229	1000
1230	1000
1231	1000
1232	1000
1233	1000
1234	1000
1235	1000
1236	1000
1237	1000
1238	1000
1239	1000
1240	1000
1241	1000
1242	1000
1243	1000
1244	1000
1245	1000
1246	1000
1247	1000
1248	1000
1249	1000
1250	1000
1251	1000
1252	1000
1253	1000
1254	1000
1255	1000
1256	1000
1257	1000
1258	1000
1259	1000
1260	1000
1261	1000
1262	1000
1263	1000
1264	1000
1265	1000
1266	1000
1267	1000
1268	1000
1269	1000
1270	1000
1271	1000
1272	1000
1273	1000
1274	1000
1275	100
1276	1000
1277	1000
1278	1000
1279	1000
1280	1000
