frame_no	value
0	1000
1	1000
2	1000
3	1000
4	1000
5	1000
6	1000
7	1000
8	1000
9	1000
10	1000
11	1000
12	1000
13	1000
14	1000
15	1000
16	1000
17	1000
18	1000
19	1000
20	1000
21	1000
22	1000
23	1000
24	1000
25	1000
26	1000
27	1000
28	1000
29	1000
30	1000
31	1000
32	1000
33	1000
34	1000
35	1000
36	1000
37	1000
38	1000
39	1000
40	1000
41	1000
42	1000
43	1000
44	1000
45	1000
46	1000
47	1000
48	1000
49	1000
50	1000
51	1000
52	1000
53	1000
54	1000
55	1000
56	1000
57	1000
58	1000
59	1000
60	1000
61	1000
62	1000
63	1000
64	1000
65	1000
66	1000
67	1000
68	1000
69	100
70	1
71	100
72	100
73	100
74	100
75	100
76	1000
77	1000
78	1000
79	1000
80	1000
81	1000
82	1000
83	1000
84	1000
85	1000
86	1000
87	1000
88	1000
89	1000
90	1000
91	1000
92	1000
93	1000
94	1000
95	1000
96	1000
97	1000
98	1000
99	1000
100	1000
101	1000
102	1000
103	1000
104	1000
105	1000
106	1000
107	1000
108	1000
109	1000
110	1000
111	1000
112	1000
113	1000
114	1000
115	1000
116	1000
117	1000
118	1000
119	1000
120	1000
121	1000
122	1000
123	1000
124	1000
125	1000
126	1000
127	1000
128	1000
129	1000
130	1000
131	1000
132	1000
133	1000
134	1000
135	1000
136	1000
137	1000
138	1000
139	1000
140	1000
141	1000
142	1000
143	1000
144	1000
145	1000
146	1000
147	1000
148	1000
149	1000
150	1000
151	1000
152	1000
153	1000
154	1000
155	1000
156	1000
157	1000
158	1000
159	1000
160	1000
161	1000
162	1000
163	1000
164	1000
165	1000
166	1000
167	1000
168	1000
169	1000
170	1000
171	1000
172	1000
173	1000
174	1000
175	1000
176	1000
177	1000
178	1000
179	1000
180	1000
181	1000
182	1000
183	1000
184	1000
185	1000
186	1000
187	1000
188	1000
189	1000
190	1000
191	1000
192	1000
193	1000
194	1000
195	1000
196	1000
197	1000
198	1000
199	1000
200	1000
201	1000
202	1000
203	1000
204	1000
205	1000
206	1000
207	1000
208	1000
209	1000
210	1000
211	1000
212	1000
213	1000
214	1000
215	1000
216	1000
217	100
218	1000
219	1000
220	1000
221	1000
222	1000
223	1000
224	1000
225	1000
226	1000
227	1000
228	1000
229	1000
230	1000
231	1000
232	1000
233	1000
234	1000
235	1000
236	1000
237	100
238	1000
239	1000
240	1000
241	1000
242	1000
243	1000
244	1000
245	1000
246	1000
247	1000
248	1000
249	1000
250	1000
251	1000
252	1000
253	1000
254	1000
255	1000
256	1000
257	1000
258	1000
259	1000
260	1000
261	1000
262	1000
263	1000
264	1000
265	1000
266	1000
267	1000
268	1000
269	1000
270	1000
271	1000
272	1000
273	1000
274	1000
275	1000
276	1000
277	1000
278	1000
279	1000
280	1000
281	1000
282	1000
283	1000
284	1000
285	1000
286	1000
287	1000
288	1000
289	1000
290	1000
291	1000
292	1000
293	1000
294	1000
295	1000
296	1000
297	1000
298	1000
299	1000
300	1000
301	1000
302	1000
303	1000
304	1000
305	1000
306	1000
307	1000
308	1000
309	1000
310	1000
311	1000
312	1000
313	1000
314	1000
315	1000
316	1000
317	1000
318	1000
319	1000
320	1000
321	1000
322	1000
323	1000
324	1000
325	1000
326	1000
327	1000
328	1000
329	1000
330	1000
331	1000
332	1000
333	1000
334	1000
335	1000
336	1000
337	1000
338	1000
339	1000
340	1000
341	1000
342	1000
343	1000
344	1000
345	1000
346	1000
347	1000
348	1000
349	1000
350	1000
351	1000
352	1000
353	1000
354	1000
355	1000
356	1000
357	1000
358	1000
359	1000
360	1000
361	1000
362	100
363	1000
364	1000
365	1000
366	1000
367	1000
368	1000
369	1000
370	1000
371	1000
372	1000
373	1000
374	1000
375	1000
376	1000
377	1000
378	1000
379	1000
380	1000
381	1000
382	1000
383	1000
384	1000
385	1000
386	1000
387	1000
388	1000
389	1000
390	1000
391	1000
392	1000
393	1000
394	1000
395	1000
396	1000
397	1000
398	1000
399	1000
400	1000
401	1000
402	1000
403	1000
404	1000
405	1000
406	1000
407	100
408	1000
409	1000
410	1000
411	1000
412	1000
413	1000
414	1000
415	1000
416	1000
417	1000
418	1000
419	1000
420	1000
421	1000
422	1000
423	1000
424	1000
425	1000
426	1000
427	1000
428	1000
429	1000
430	1000
431	1000
432	1000
433	1000
434	1000
435	1000
436	1
437	1000
438	1
439	1
440	1
441	1
442	1
443	1
444	1
445	1
446	1
447	1
448	1
449	1
450	1
451	1
452	1
453	1
454	1
455	1
456	1
457	1
458	1
459	1
460	1
461	1
462	1
463	1
464	1
465	1
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	1
474	1
475	1
476	1
477	1
478	1
479	1
480	1
481	1
482	1
483	1
484	1
485	1
486	1
487	1
488	1
489	1
490	1
491	1
492	1
493	1
494	1
495	1
496	1
497	1
498	1
499	1
500	1
501	1
502	1
503	1
504	1
505	1
506	1
507	1
508	1
509	1
510	1
511	1
512	1
513	1000
514	1000
515	1000
516	1000
517	1000
518	1000
519	1000
520	1000
521	1000
522	1000
523	1000
524	1000
525	1000
526	1000
527	1000
528	1000
529	1000
530	1
531	1
532	1
533	1
534	1
535	1
536	1
537	1
538	1
539	1
540	1
541	1
542	1
543	1
544	1
545	1
546	1
547	1
548	1
549	1
550	1
551	1
552	1
553	1
554	1
555	1
556	1
557	1
558	1
559	1
560	1
561	1
562	1
563	1
564	1
565	1
566	1
567	1
568	1
569	1
570	1000
571	1000
572	1000
573	1000
574	1000
575	1000
576	1000
577	1000
578	1000
579	1
580	1
581	1
582	1
583	1
584	1
585	1
586	1
587	1
588	1
589	1
590	1
591	1
592	1
593	1
594	1
595	1
596	1
597	1
598	1
599	1
600	1
601	1
602	1
603	1
604	1
605	1
606	1
607	1
608	1
609	1
610	1
611	1
612	1
613	1
614	100
615	1000
616	100
617	1000
618	1000
619	1000
620	1000
621	1000
622	1000
623	1000
624	1000
625	100
626	100
627	100
628	1000
629	1000
630	1000
631	1000
632	1000
633	1000
634	1000
635	1000
636	1000
637	1000
638	1000
639	1
640	1
641	1
642	1
643	1
644	1
645	1
646	1
647	1
648	1
649	1
650	1
651	1000
652	1
653	1
654	1
655	1
656	1
657	1
658	1
659	1
660	1
661	1
662	1
663	1
664	1
665	1
666	1
667	1
668	1
669	1
670	1
671	1
672	1
673	1
674	1
675	1
676	1
677	1
678	1
679	1
680	1
681	1
682	1000
683	100
684	1000
685	1000
686	1000
687	1000
688	1000
689	1000
690	1000
691	1000
692	1000
693	1000
694	1000
695	1000
696	1000
697	1000
698	1000
699	1000
700	1000
701	1000
702	1000
703	1000
704	1000
705	1000
706	1000
707	1000
708	1000
709	1000
710	1000
711	1000
712	1000
713	1000
714	10
715	1000
716	1000
717	1000
718	1000
719	1000
720	1000
721	1000
722	1000
723	1000
724	1000
725	1000
726	1000
727	1000
728	1000
729	1000
730	1000
731	1000
732	1000
733	1000
734	1000
735	1000
736	100
737	100
738	10
739	100
740	1000
741	1000
742	1000
743	1000
744	1000
745	1000
746	1000
747	1000
748	1000
749	1000
750	1000
751	1000
752	1000
753	1000
754	1000
755	1000
756	1000
757	1000
758	1000
759	1000
760	1000
761	1000
762	1000
763	1000
764	1000
765	1000
766	1000
767	1000
768	1000
769	1000
770	1000
771	1000
772	1000
773	1000
774	1000
775	1000
776	1000
777	1000
778	1000
779	1000
780	1000
781	1000
782	1000
783	1000
784	1000
785	1000
786	1000
787	1000
788	1000
789	1000
790	1000
791	1000
792	1000
793	1000
794	1000
795	1000
796	100
797	100
798	1000
799	1000
800	1000
801	1000
802	1000
803	1000
804	1000
805	1000
806	1000
807	1000
808	1000
809	1000
810	1000
811	100
812	1000
813	1000
814	1000
815	1000
816	1000
817	1000
818	1000
819	1000
820	1000
821	1000
822	1000
823	1000
824	1000
825	1000
826	1000
827	1000
828	1000
829	1000
830	1000
831	1000
832	1000
833	1000
834	1000
835	1000
836	1000
837	1000
838	1000
839	1000
840	1000
841	1000
842	1000
843	1000
844	1000
845	1000
846	1000
847	1000
848	1000
849	1000
850	1000
851	1000
852	1000
853	1000
854	1000
855	1000
856	1000
857	1000
858	1000
859	1000
860	1000
861	1000
862	1000
863	1000
864	1000
865	1000
866	1000
867	1000
868	100
869	1000
870	100
871	100
872	1000
873	1000
874	1000
875	1000
876	1000
877	1000
878	1000
879	1000
880	1000
881	1000
882	1000
883	1000
884	1000
885	1000
886	1000
887	1000
888	1000
889	1000
890	1000
891	1000
892	1000
893	1000
894	1000
895	1000
896	1000
897	1000
898	1000
899	1000
900	1000
901	1000
902	1000
903	10
904	1000
905	1000
906	1000
907	1000
908	1000
909	1000
910	1000
911	1000
912	1000
913	1000
914	1000
915	100
916	100
917	1000
918	100
919	1000
920	1000
921	1000
922	1000
923	1000
924	1000
925	1000
926	1000
927	1000
928	1000
929	1000
930	1000
931	1000
932	1000
933	1000
934	1000
935	1000
936	1000
937	1000
938	1000
939	1000
940	1000
941	1000
942	1000
943	1000
944	1000
945	1000
946	1000
947	1000
948	1000
949	1000
950	1000
951	1000
952	1000
953	1000
954	1000
955	1000
956	1000
957	1000
958	1000
959	1000
960	1000
961	1000
962	1000
963	1000
964	100
965	100
966	100
967	1000
968	1000
969	1000
970	1000
971	1000
972	1000
973	1000
974	1000
975	1000
976	1000
977	1000
978	1000
979	1000
980	1000
981	1000
982	1000
983	1000
984	1000
985	100
986	100
987	1000
988	1000
989	1000
990	1000
991	1000
992	1000
993	1000
994	1000
995	1000
996	1000
997	1000
998	1000
999	1000
1000	1000
1001	1000
1002	1000
1003	1000
1004	1000
1005	1000
1006	1000
1007	1000
1008	1000
1009	1000
1010	1000
1011	1000
1012	1000
1013	1000
1014	1000
1015	1000
1016	1000
1017	1000
1018	1000
1019	1000
1020	1000
1021	1000
1022	1000
1023	1000
1024	1000
1025	1000
1026	1000
1027	1000
1028	1000
1029	1000
1030	1000
1031	1000
1032	1000
1033	1000
1034	1000
1035	1000
1036	1000
1037	1000
1038	1000
1039	1000
1040	1000
1041	1000
1042	1000
1043	1000
1044	1000
1045	100
1046	1000
1047	1000
1048	1000
1049	1000
1050	1000
1051	1000
1052	1000
1053	1000
1054	1000
1055	1000
1056	1000
1057	1000
1058	1000
1059	1000
1060	1000
1061	1000
1062	1000
1063	1000
1064	1000
1065	1000
1066	1000
1067	1000
1068	1000
1069	1000
1070	1000
1071	1000
1072	1000
1073	1000
1074	1000
1075	1000
1076	1000
1077	1000
1078	1000
1079	1000
1080	1000
1081	1000
1082	1000
1083	1000
1084	1000
1085	1000
1086	1000
1087	1000
1088	1000
1089	1000
1090	1000
1091	1000
1092	1000
1093	1000
1094	1000
1095	1000
1096	1000
1097	1000
1098	1000
1099	1000
1100	1000
1101	1000
1102	1000
1103	1000
1104	1000
1105	100
1106	100
1107	1000
1108	1000
1109	1000
1110	1000
1111	1000
1112	1000
1113	1000
1114	1000
1115	1000
1116	1000
1117	1000
1118	1000
1119	1000
1120	1000
1121	1000
1122	1000
1123	1000
1124	1000
1125	1000
1126	1000
1127	1000
1128	1000
1129	1000
1130	1000
1131	1000
1132	1000
1133	1000
1134	1000
1135	1000
1136	1000
1137	1000
1138	1000
1139	1000
1140	1000
1141	1000
1142	1000
1143	1000
1144	1000
1145	1000
1146	1000
1147	1000
1148	1000
1149	1000
1150	1000
1151	1000
1152	1000
1153	1000
1154	1000
1155	1000
1156	1000
1157	1000
1158	1000
1159	1000
1160	1000
1161	1000
1162	1000
1163	1000
1164	1000
1165	1000
1166	1000
1167	1000
1168	1000
1169	1000
1170	1000
1171	1000
1172	1000
1173	1000
1174	1000
1175	1000
1176	1000
1177	1000
1178	1000
1179	1000
1180	1000
1181	1000
1182	1000
1183	1000
1184	1000
1185	1000
1186	1000
1187	1000
1188	1000
1189	1000
1190	1000
1191	1000
1192	1000
1193	1000
1194	1000
1195	1000
1196	1000
1197	1000
1198	1000
1199	1000
1200	1000
1201	1000
1202	1000
1203	1000
1204	1000
1205	1000
1206	1000
1207	1000
1208	1000
1209	1000
1210	1000
1211	1000
1212	1000
1213	100
1214	1000
1215	1000
1216	100
1217	1000
1218	1000
1219	1000
1220	1000
1221	1000
1222	1000
1223	1000
1224	1000
1225	1000
1226	1000
1227	1000
1228	1000
1229	1000
